Name,andere Schreibweisen,Geburtszeitpunkt,Sterbezeitpunkt,Kommentar
"Adam, Mester",Meister,,,
"Adriaensz, Claesz",,,,
"Andriesz., Joris",,,,
"Anhalt, N.",,,1693,
"Arend, Mester",Meister,,,
"Attradt, Fens",Atrat;Attrath,,,
"Baecsdorp, Jonga Jan Jansz. Van",,,,
"Bjonville, Marcus de",,,,
"Bartels, Hinrich",,,,
"Bastiaensz, Gysbert",,,,
"Beer, Claes de",,,,
"Beets, Dirck Wijuants",,,,
"Beigereich, Johan Jakob",,,1760,vor 1761
"Beijvanck, Jabobus Anthonius",,,,
"Beling, Andreas",,,,
"Bentheim, Lüder von",Bentem;Benthem;Luder,1555,1612,
"Bentheim, Harmen von",Bentem;Benthem,,,
"Bercwyns, Abraham",,,,
"Berckelins, Nicolas",,,,
"Berrewijns, Abraham",Bercewyn,,,
"Bilfeldt, Hinrich",Bielfelt;Bilevelt,,,
"Bockeloh, Ernst",Bokeloh;Bocklo;Bockloh,,,
"Bockeloh, Harmen",Bokeloh;Bocklo;Bockloh,,,
"Bockeloh, Hinrich",Bokeloh;Bocklo;Bockloh,,,
"Bockeloh, Peter",Bokeloh;Bocklo;Bockloh,,,
"Bockeloh, Wilmen",Bokeloh;Bocklo;Bockloh,,,
"Boelcken, Wilhelm",,,,
"Bollmann, Henrich",,,1760,vor 1761
"Bollmann, Otto",,,,
"Bommelen, Albert von",,,,
"Borchers, Berendt",,,,
"Bosboom, Simon",Symon,1614,1662,
"Bredenrode, Jan Willemsz.",,,,
"Bremer, Eler",,,,
"Bremer, Henrich",,,,
"Broeck, Michael van den",,1600,,
"Broens, Roelof",,,,
"Brockmann, Hinrich",Brokamp,,,
"Broebes, Jean Baptiste",Probees;Proves;Probes,,1721,nach 1720
"Brokamp, Albert",,,,
"Brokamp, Andreas",,,,
"Bruggemann, Herman",,,1717-09-23,
"Bruyns, Jan",,,,
"Buijs, Paulus",,1570,1617-09-23,ca. 1570
"Busche, Albert von",,,,
"Busche, Johann, von",,,,
"Busche, Wilhelm von",Wylm,,,
"Buschener, Johan de",,,,
"Campen, Jacob von",,1595-02-02,1657-09-13,
"Cardeel, Hendrik Lukasz.",,,,
"Carpentier, Pieter",,,,
"Claesz, Douwe",,,,
"Claesz, Fredrich",,,,
"Claesz, Harmen",,,,
"Clamp, Johan",,1549-10-21,1611-06-19,
"Claußen, Jakob",,,,
"Coen, Jan Pietersz.",,,1629,
"Cornelisz, Claes",,,1620-07-17,vor dem 17.07.1620
"Cornelisz, Jeronymus",,,,
"Damme, Marten von",,,1638,
"Deetjen, Daniel",,,,
"Deetjen, Johann",,,,
"Deutecom, Jochen Roelofszoon",,,,
"Dulez, Gideon",,,,
"Egbertsz, Jan",,,,
"Eggelinck, Lammert",Eddelinck,,,
"Edsaertsz, Edsart",,,,
"Everts, Hugo",,,,
"Faeches, Jeimaer",Faeckes,,,
"Faille, Jacob della",Jaques,1548,1615-10-24,ca. 1548
"Fopma, Hektor",,,,
"Fopma, Joachim",,,1712,vor 1713
"Fransz, Gillies",,,,
"Frese, Theophilus Wilhelm",Vrese,,,
"Führer, Johann Michael",,,,
"Gael, Laurens Huygensz",,1549,1618,ca. 1549
"Geertsz, Hugo",,,,
"Gercken, Andreas ",Geerken,,1718,ca. 1718
"Gercken, Dierich I",Geerken,,,
"Gercken, Dierich II",Geerken; Diderik,,1742,ca. 1742
"Gercken, Dierich III",Geerken,,,
"Gercken, Dierich IV",Geerken,,1748,ca. 1748
"Gercken, Jürgen",Geerken,,,
"Gercken, Theodorus",Geerken,,1760,vor 1761
"Gercken, Wilhelm",Geerken,,1760,vor 1761
"Gercken, Woltje I",Geerken,,,
"Gercken, Woltje II",Geerken,,,
"Gercken, Woltje III",Geerken,,,
"Gijselingh, Jan",,1650,1718,
"Goryes, Dirick",,,,
"Graeff, Dr. Jacob de",Graaff,1614,1674,
"Grütter, Jacob Hinrich",,,,
"Guericke, Gabriel Nicholas van",,,,
"Haga, Lambertus Janszoon",,,,
"Hamme, Cordt von",,,,
"Hamme, Hinrich II von",,,,
"Hamme, Hynryk von",,,,
"Hamm, Lüder von",,,,
"Hamme, Wilken von",,,,
"Hamme, Wilken II von",,,,
"Hane, Hermen",,,,
"Hasselaer, Dirck",,1581-09-22,1645-12-30,
"Hasselaer, Pieter",,,,
"Haßelmann, Bosche",,,,
"Heidmann, Michel",,,,
"Hellemann, Jacob",,,,
"Helman, Barent",,,,
"Hendricx, Swaentje",,,,
"Hendriksz, Jacob",,,,
"Hillebrantsz, Daniel",,,,
