Name,andere Schreibweisen,Kommentar,Kommentar 2
"Abbes, Jelle  ",,[G]1654-02-14,
"Aitiens, Otto",,[G]1655-05-26,
"Albertssen, Albert ",,[G]1655-04-15,
"Andriess, Anno",,[G]1654-05-07,
"Andriesen, Sibout","Andriess, Sybrant",[G]1654-08-26; 1660-09-16,Bremer Schiffer
"Anschs, Ansche","Anskes, Anske",[G]1649-10-28; 1649-12-15,Bremer Schiffer
"Arents, Gerrit",,[G]1657-02-12,
"Arwel, Auke",,[G]1653-05-13,
"Asendorp, Jan",,[G]1654-09-09,Bremer Schiffer
"Claess, Gerrit",,[G]1656-05-05,
"Claes, Holbert",,[G]1660-09-03,
"Claes, Meynert",,[G]1655-05-07,
"Claesen, Jan",,[G]1654-10-29,Emder Schiffer
"Claessen, Pieter",,[G]1654-09-16,
"Clotdtman, Harmen",,[G]1649-11-01,
"Cnoop, Marten",,[G]1649-12-01,
"Cornelis, Direck",,[G]1653-04-25,
"Corneliss [von Harlingen], Gerd ",,[G]1654-05-29,
"Corten, Hendrick",,[G]1660-12-04,
"Cothe/ Kothe, Jacob","Coten, Jacob",[G]1653-05-27,Bremer Schiffer
"Dircksen, Jan","Dircx, Jan",[G]1654-09-10,Bremer Schiffer
"Tiercks [= Dircks], Pieter",,[G]1653-10-28,
"Donkes, Doncke",,[G]1653-04-25,
"Dovwes, Auke",,[G]1655-04-21,
"Douwerts, Douwen",,[G]1654-02-12,Bremer Schiffer
"Dovwerts, Garbrant",,[G]1654-05-12,
"Douwets, Jan",,[G]1654-05-20,
"Drayer, Carsten",,[G]1654-05-12,
"Eelkes [?], Douwe",,[G]1653-10-23,
"Eylders, Brjdgen",,[G]1654-05-30,
"Ellertssen, Bruyen",,[G]1654-07-15,
"Engels, Wouter",,[G]1656-05-23,
"Evers [?], Onne",,[G]1657-04.20,
"Everts [?], Onneken",,[G]1657-12-12,
"Florente, Jan",,[G]1654-03-04,
"Garbade, Claes","Gubart, Claes",[G]1657-10-09,Bremer Schiffer
"Garloffs, Christoffer","Gerloffes, Stoffel",[G]1656-04-25,Bremer Schiffer
"Gerdertssen, Claes",,[G]1656-05-12,
"Gosman, Dirck",,[G]1656-05-16,
"Harmants, Hessel",,[G]1655-05-07,
"Harmenssen, Tide",,[G]1655-05-26,
"Harmens, Weke",,[G]1654-12-01,
"Heerens, Hendrick",,[G]1658-01-09,
"Heersten, Hendrick",,[G]1655-04-13,
"Hellen, Ji[x?]",,[G]1653-11-18,
"Heijttis, Obbe","Heytges, Obbe",[G]1653-11-18,
"Hendrickes, Frans",,[G]1655-05-07,
"Hendrickss, Lutgen",,[G]1653-04-18,
"Hendrix, Volkart",,[G]1649-10-30,
"Hermanns, Albert",,[G]1653-04-25,
"Hermans, Onke",,[G]1654-09-02,
"Heselman, Lambert",,[G]1653-05-20,Bremer Schiffer
