Name,andere Schreibweise,Geburtszeitpunkt,Sterbezeitpunkt,"Verknüpfung: ""[Akteur] wird erwähnt in Quelle…"" (ID)",Kommentar
"???, Bertel",,,,#11737,
"???, Jacomar",,,,#11737,Steinhauer
"???, Jan",,,,#11718,Schiffer
"???, Jasper",,,,#11737,
"???, Philippo",,,,#11737,Steinhauer
"???, Thomas",,,,#11737,Steinhauer
"[Ydelurcx?], Jan",,,,#11684,
"Aenslaen, Jan van",,,,#11680; #11690; #11702; #11726,Schiffer
"Aeranen, Huygen",,,,#11671; 11673,Schiffer aus Antwerpen
"Aerschot, Jan van",,,,#11650,Zimmergeselle
"Bastiaen, Jan",,,,#11737,Steinhauer
"Brechen, Jan",,,,#11686,Schiffer
"Brouwer, Cornelis",,,,#11706,Schiffer
"Bückeburg, Amtmann zu",,,,#11676; #11744,
"Campen, Herman van",,,,#11686,Schiffer
"Claessen, Floris",,,,#11718,Schiffer(?)
"Cornelis, Jacob",,,,#11702,Schiffer
"Desalm, Jan",,,,#11714,Steinhauer(?)
"Frans, Peter",,,,#11650,Zimmergeselle
"Geertsen, Conerlis",,,,#11680,
"Halm, Jan",,,,#11726,Schiffer(?)
"Hermans, Herman",,,,#11737,Steinhauer
"Hesselenn, Albert","Hesselen, Heselen",,,#11681,
"Hollander, Jacob de",,,,#11686,Schiffer
"Holstein-Schaumburg, Gräfin zu",,,,#11744,
"Holstein-Schaumburg, Kanzler zu",,,,#11676; #11744,
"Hoppe, Jan",,,,#11714; #11737,Steinhauer
"Jacobin, Francho",Franso,,,#11714; #11737,Steinhauer
"Jacobs, Anthonis",Jacobss,,,#11693; #11718,Schiffer
"Jacobs, Geert",Jacobss,,,#11702,Schiffer
"Jan, Jan de",,,,#11718,Schiffer
"Jansen, Jacob",,,,#11718,Schiffer(?)
"Janss, Andries",,,,#11702,Schiffer
"Janssen, Cornelis",,,,#11718,Schiffer(?)
"Joos, Hendrick",,,,#11661,
"Lampe, Herman",Harmen,,,#11686; #11726,Schiffer
"Matysen, Hen.",,,,#11686,Schiffer
"Menchont, Jacop van",,,,#11737,Steinhauer
"Mido, Michgiel",,,,#11737,Steinhauer
"Namuer, Jaco de",,,,#11714,Steinhauer
"Pauwels, Willem",,,,#11706,Schiffer
"Peetersen, Ludr",Luder,,,#11726,Schiffer(?)
"Sanders, Sander",,,,#11726,Schiffer(?)
"Schaumburg, Amtmann zu",,,,#11676; #11744,
"Suel, Dierck",,,,#11726,Schiffer
"Symonss, Cornelis",,,,#11671,
"Syr[?]sen, Jan",Syrsen,,,#11680,Schiffer aus Amsterdam
"Vatinck, Hendricx",,,,#11726,Schiffer(?)
"Vechenoort, Joachim",Veechenort,,,#11651,Gastwirt in Antwerpen
"Vombour, Nicolaes",,,,#11737,Steinhauer
"Waen, [Vicasius?] te",,,,#11710,"Hersteller von ""confituren ende vastenspyse"" zu Schaumburg"
"Willems, Jan",,,,#11706,Schiffer
"Willemsen, Willem",,,,#11714,Steinhauer
"Willmsen, Wille",,,,#11737,Steinhauer
"Wyck, Dielis",,,,#11718,Schiffer(?)
Ysebrants,,,,#11718,Schiffer
